2025-07-06 15:20:47 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 158.7, 風向: 南南東
2025-07-06 15:20:47 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 198.9, 風向: 南南西
2025-07-06 15:21:18 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 150.3, 風向: 南南東
2025-07-06 15:21:19 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 150.3, 風向: 南南東
2025-07-06 15:21:49 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 159.0, 風向: 南南東
2025-07-06 15:21:50 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 159.0, 風向: 南南東
2025-07-06 15:22:20 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 158.2, 風向: 南南東
2025-07-06 15:22:21 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 158.2, 風向: 南南東
2025-07-06 15:22:52 - ModbusReader - INFO - 風速: 0.1 m/s, 風級: 0, 風向角度: 141.3, 風向: 東南
2025-07-06 15:22:52 - ModbusReader - INFO - 風速: 0.1 m/s, 風級: 0, 風向角度: 141.3, 風向: 東南
2025-07-06 15:23:23 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 296.6, 風向: 西北西
2025-07-06 15:23:23 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 296.6, 風向: 西北西
2025-07-06 15:23:54 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 274.0, 風向: 西
2025-07-06 15:23:55 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 274.0, 風向: 西
2025-07-06 15:24:25 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 170.4, 風向: 南
2025-07-06 15:24:26 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 170.4, 風向: 南
2025-07-06 15:24:56 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 136.2, 風向: 東南
2025-07-06 15:24:57 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 136.2, 風向: 東南
2025-07-06 15:25:28 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 94.2, 風向: 東
2025-07-06 15:25:28 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 94.2, 風向: 東
2025-07-06 15:25:59 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 133.3, 風向: 東南
2025-07-06 15:25:59 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 133.3, 風向: 東南
2025-07-06 15:26:30 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 178.4, 風向: 南
2025-07-06 15:26:31 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 178.4, 風向: 南
2025-07-06 15:27:01 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 162.9, 風向: 南南東
2025-07-06 15:27:02 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 162.9, 風向: 南南東
2025-07-06 15:27:32 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 17.1, 風向: 北北東
2025-07-06 15:27:33 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 17.1, 風向: 北北東
2025-07-06 15:28:04 - ModbusReader - INFO - 風速: 0.9 m/s, 風級: 1, 風向角度: 79.8, 風向: 東
2025-07-06 15:28:04 - ModbusReader - INFO - 風速: 0.8 m/s, 風級: 1, 風向角度: 152.8, 風向: 南南東
2025-07-06 15:28:35 - ModbusReader - INFO - 風速: 0.9 m/s, 風級: 1, 風向角度: 117.9, 風向: 東南東
2025-07-06 15:28:35 - ModbusReader - INFO - 風速: 0.9 m/s, 風級: 1, 風向角度: 117.9, 風向: 東南東
2025-07-06 15:29:06 - ModbusReader - INFO - 風速: 1.0 m/s, 風級: 1, 風向角度: 12.4, 風向: 北北東
2025-07-06 15:29:07 - ModbusReader - INFO - 風速: 1.0 m/s, 風級: 1, 風向角度: 12.4, 風向: 北北東
2025-07-06 15:29:37 - ModbusReader - INFO - 風速: 0.6 m/s, 風級: 1, 風向角度: 352.1, 風向: 北
2025-07-06 15:29:38 - ModbusReader - INFO - 風速: 0.6 m/s, 風級: 1, 風向角度: 352.1, 風向: 北
